"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","AIREMISSION","CO2","MLN_TONNE","A","1998",846.943854,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","1999",814.959373,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2000",812.311609,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2001",831.479218,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2002",817.9019,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2003",820.688397,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2004",804.624916,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2005",786.931288,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2006",798.68176,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2007",767.019443,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2008",773.893025,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2009",720.182549,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2010",758.848288,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2011",731.241683,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2012",745.141688,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2013",763.651811,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2014",723.111731,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2015",729.684402,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2016",734.487052,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2017",718.794085,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2018",696.131381,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2019",659.0989218,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","1995",76.478485,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","1996",76.379728,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","1997",77.353692,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","1998",80.744241,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","1999",81.029466,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2000",87.923582,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2001",90.041816,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2002",90.283202,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2003",93.848627,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2004",93.480598,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2005",95.156324,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2006",94.103838,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2007",97.902891,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2008",94.35162,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2009",90.15818,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2010",83.36947,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2011",82.117228,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2012",76.986345,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2013",68.845177,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2014",65.726678,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2015",64.543218,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2016",63.076623,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2017",63.110531,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2018",61.602208,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2019",56.8298172,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","1995",56.245319,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","1996",57.343904,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","1997",55.81608,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","1998",56.131297,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","1999",56.686536,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2000",53.280264,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2001",54.923444,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2002",54.17392,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2003",56.774935,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2004",55.060802,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2005",54.722182,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2006",54.161519,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2007",52.522404,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2008",51.753214,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2009",46.866409,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2010",47.145132,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2011",46.343688,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2012",42.748798,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2013",40.246668,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2014",40.059462,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2015",42.708351,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2016",43.777954,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2017",45.762629,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2018",45.601765,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2019",45.707822,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","1995",1.964286,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","1996",2.2259,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","1997",2.108493,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","1998",2.100158,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","1999",2.054977,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2000",2.161026,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2001",2.10556,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2002",2.205535,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2003",2.194304,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2004",2.269524,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2005",2.23538,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2006",2.272645,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2007",2.319835,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2008",2.121787,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2009",2.07988,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2010",1.949182,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2011",1.868728,
